,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,test_r2_with_best_hyp,model_name,seed
20,0.009217580159505209,0.005581342701416572,0.0029908021291097007,1.0721474936192862e-06,0.4,3,150,"{'learning_rate': 0.4, 'max_depth': 3, 'n_estimators': 150}",-0.2668997013241401,-0.005174151416757811,-0.17712761861630222,-0.14973382378573338,0.10859060998384372,6,0.6802537904386152,Light GBM,0
21,0.0063177744547526045,0.0018789627124978548,0.002990563710530599,9.199648620915593e-07,0.4,5,50,"{'learning_rate': 0.4, 'max_depth': 5, 'n_estimators': 50}",-0.2668997013241401,-0.005174151416757811,-0.17712761883533723,-0.14973382385874504,0.10859061000226213,11,0.6802537904386152,Light GBM,0
22,0.008641719818115234,0.005233939748633669,0.002995093663533529,1.4349198409134378e-06,0.4,5,100,"{'learning_rate': 0.4, 'max_depth': 5, 'n_estimators': 100}",-0.2668997013241401,-0.005174151416757811,-0.1771276205402732,-0.14973382442705704,0.10859061014562832,41,0.6802537904386152,Light GBM,0
23,0.008974075317382812,0.00422968926467069,0.003324747085571289,0.00047272049586940065,0.4,5,150,"{'learning_rate': 0.4, 'max_depth': 5, 'n_estimators': 150}",-0.2668997013241401,-0.005174151416757811,-0.17712761861630222,-0.14973382378573338,0.10859060998384372,6,0.6802537904386152,Light GBM,0
24,0.004651387532552083,0.0009420102073744986,0.0019959608713785806,2.08152148782552e-06,0.4,7,50,"{'learning_rate': 0.4, 'max_depth': 7, 'n_estimators': 50}",-0.2668997013241401,-0.005174151416757811,-0.17712761883533723,-0.14973382385874504,0.10859061000226213,11,0.6802537904386152,Light GBM,0
25,0.006981611251831055,0.0029364181202448446,0.002326409022013346,0.0004732835731115345,0.4,7,100,"{'learning_rate': 0.4, 'max_depth': 7, 'n_estimators': 100}",-0.2668997013241401,-0.005174151416757811,-0.1771276205402732,-0.14973382442705704,0.10859061014562832,41,0.6802537904386152,Light GBM,0
26,0.008642435073852539,0.004486036125543329,0.002991278966267904,8.778064264605254e-07,0.4,7,150,"{'learning_rate': 0.4, 'max_depth': 7, 'n_estimators': 150}",-0.2668997013241401,-0.005174151416757811,-0.17712761861630222,-0.14973382378573338,0.10859060998384372,6,0.6802537904386152,Light GBM,0
27,0.006981213887532552,0.0035490769478104243,0.0029921531677246094,3.8933590933214475e-07,0.4,9,50,"{'learning_rate': 0.4, 'max_depth': 9, 'n_estimators': 50}",-0.2668997013241401,-0.005174151416757811,-0.17712761883533723,-0.14973382385874504,0.10859061000226213,11,0.6802537904386152,Light GBM,0
28,0.00864426294962565,0.002351175995144443,0.0026586055755615234,0.00047002229959503347,0.4,9,100,"{'learning_rate': 0.4, 'max_depth': 9, 'n_estimators': 100}",-0.2668997013241401,-0.005174151416757811,-0.1771276205402732,-0.14973382442705704,0.10859061014562832,41,0.6802537904386152,Light GBM,0
29,0.008975744247436523,0.00430859220846835,0.0029944578806559243,0.0008145983858791126,0.4,9,150,"{'learning_rate': 0.4, 'max_depth': 9, 'n_estimators': 150}",-0.2668997013241401,-0.005174151416757811,-0.17712761861630222,-0.14973382378573338,0.10859060998384372,6,0.6802537904386152,Light GBM,0
